state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
0,east,u,master,37707,37707,1000,0.0,personal auto,four-door car,3
1,central,f,bachelor,6980,37707,94,0.0,personal auto,four-door car,1131
2,central,f,bachelor,12887,48767,108,0.0,personal auto,two-door car,566
3,west,m,bachelor,7646,37707,106,0.0,corporate auto,suv,530
4,east,m,high school or below,5363,36357,68,0.0,personal auto,four-door car,17
5,northeast,f,bachelor,8256,62902,69,0.0,personal auto,two-door car,159
6,northeast,f,college,5381,55350,67,0.0,corporate auto,four-door car,322
7,central,m,master,7216,37707,101,0.0,corporate auto,four-door car,363
8,northeast,m,bachelor,24128,14072,71,0.0,corporate auto,four-door car,511
9,northeast,f,college,7388,28812,93,0.0,special auto,four-door car,426
10,west,m,college,4739,37707,67,0.0,personal auto,four-door car,482
11,west,u,college,8197,37707,110,0.0,personal auto,suv,528
12,west,u,master,8799,77026,110,2.0,corporate auto,four-door car,472
13,central,u,high school or below,8819,99845,110,1.0,corporate auto,suv,528
14,west,u,college,5384,83689,70,2.0,corporate auto,four-door car,307
15,northeast,u,bachelor,7463,24599,64,1.0,corporate auto,four-door car,43
16,central,u,high school or below,2567,25049,67,0.0,personal auto,two-door car,454
17,west,u,college,3945,28855,101,0.0,personal auto,suv,647
18,northeast,u,college,5710,51148,72,0.0,personal auto,four-door car,309
19,west,u,high school or below,8163,66140,101,0.0,corporate auto,four-door car,485
20,northeast,u,high school or below,2872,57749,74,0.0,personal auto,two-door car,355
21,east,m,bachelor,6177,61040,79,1.0,personal auto,two-door car,20
22,central,u,bachelor,24128,14072,71,0.0,personal auto,four-door car,511
23,central,u,bachelor,2450,37707,73,3.0,corporate auto,four-door car,554
24,west,u,bachelor,2392,17870,61,0.0,corporate auto,four-door car,439
25,northeast,u,college,5802,97541,72,0.0,personal auto,four-door car,389
26,west,u,bachelor,3946,37707,111,0.0,personal auto,four-door car,799
27,east,m,college,9162,29723,80,0.0,personal auto,four-door car,21
28,central,u,college,12903,86584,111,2.0,personal auto,four-door car,533
29,northeast,u,master,3235,75690,80,1.0,personal auto,four-door car,384
30,central,u,college,2455,23158,63,1.0,personal auto,four-door car,322
31,central,u,high school or below,18975,65999,237,0.0,corporate auto,luxury suv,616
32,west,u,bachelor,4715,37707,65,0.0,personal auto,four-door car,308
33,east,f,college,4738,37707,130,0.0,personal auto,suv,24
34,northeast,u,bachelor,4933,37260,62,0.0,corporate auto,four-door car,15
35,central,u,high school or below,5744,68987,71,0.0,personal auto,four-door car,204
36,west,u,bachelor,13892,42305,117,0.0,personal auto,four-door car,562
37,northeast,u,master,7381,65706,91,0.0,personal auto,four-door car,437
38,northeast,u,bachelor,3090,37707,90,0.0,personal auto,two-door car,648
39,central,u,high school or below,2522,53243,66,2.0,personal auto,four-door car,157
40,central,u,high school or below,2652,37707,70,1.0,corporate auto,two-door car,484
41,northeast,u,college,2771,50071,71,0.0,corporate auto,two-door car,19
42,west,u,bachelor,3939,60021,99,0.0,personal auto,four-door car,883
43,central,u,high school or below,12232,43244,103,0.0,personal auto,sports car,494
44,east,m,doctor,4952,46896,35354,1.0,personal auto,four-door car,32
45,northeast,u,doctor,12819,10105,172,3.0,personal auto,suv,1
46,central,u,bachelor,4469,37707,73,3.0,personal auto,four-door car,579
47,northeast,u,high school or below,5514,23218,71,0.0,personal auto,two-door car,448
48,west,u,bachelor,3344,37707,92,0.0,corporate auto,four-door car,530
49,central,u,high school or below,2294,37707,62,0.0,personal auto,four-door car,313
50,northeast,u,college,36707,24804,104,0.0,personal auto,suv,594
51,west,u,bachelor,33473,33190,106,0.0,corporate auto,suv,509
52,central,u,high school or below,7983,36014,69,3.0,special auto,four-door car,174
53,east,f,master,4879,67163,61,2.0,personal auto,two-door car,33
54,west,u,bachelor,4294,16701,113,0.0,personal auto,four-door car,832
55,central,u,college,7164,46623,91,0.0,corporate auto,four-door car,437
56,west,u,college,7620,64749,64,0.0,special auto,four-door car,303
57,central,u,high school or below,3958,37707,101,0.0,personal auto,suv,485
58,northeast,u,high school or below,4499,16969,124,2.0,personal auto,suv,705
59,northeast,u,master,4060,11621,108,0.0,personal auto,four-door car,518
60,central,u,bachelor,4458,17622,65,1.0,personal auto,four-door car,312
61,west,u,bachelor,8110,11489,105,0.0,personal auto,two-door car,504
62,northeast,u,bachelor,3340,37707,94,0.0,personal auto,two-door car,863
63,west,u,high school or below,24261,66525,100,0.0,personal auto,suv,104
64,central,u,bachelor,6614,37707,63,0.0,personal auto,four-door car,676
65,east,u,college,2931,33663,73,0.0,personal auto,four-door car,350
66,northeast,u,college,8672,22547,112,0.0,corporate auto,suv,538
67,central,u,high school or below,11639,61486,97,0.0,personal auto,two-door car,465
68,northeast,u,bachelor,6846,37707,95,0.0,personal auto,two-door car,456
69,west,u,college,11728,29879,102,0.0,personal auto,four-door car,500
70,northeast,u,high school or below,22644,93011,113,0.0,personal auto,suv,281
71,northeast,u,master,2614,65186,65,0.0,personal auto,two-door car,5
72,northeast,u,master,2452,26840,64,2.0,personal auto,four-door car,307
73,northeast,u,bachelor,6781,37707,104,1.0,personal auto,sports car,982
74,northeast,u,bachelor,4975,75644,65,3.0,personal auto,two-door car,468
75,northeast,u,bachelor,8592,38984,73,0.0,personal auto,four-door car,350
76,northeast,u,high school or below,5592,71811,71,0.0,personal auto,four-door car,29
77,central,u,college,8009,20961,67,0.0,personal auto,four-door car,322
78,east,f,master,37707,41275,96,0.0,personal auto,four-door car,41
79,west,u,bachelor,58167,61321,186,1.0,personal auto,luxury car,428
80,west,u,college,8025,37707,77,0.0,personal auto,two-door car,26
81,west,u,high school or below,5780,51066,74,0.0,personal auto,four-door car,788
82,west,u,doctor,4119,34378,102,0.0,personal auto,suv,490
83,central,u,master,2523,43072,63,0.0,personal auto,four-door car,302
84,northeast,u,college,6554,25222,90,0.0,personal auto,four-door car,476
85,east,f,bachelor,5383,77552,68,1.0,corporate auto,four-door car,45
86,west,u,college,5927,23091,96,5.0,personal auto,four-door car,461
87,west,u,bachelor,2683,48269,69,3.0,corporate auto,four-door car,282
88,northeast,u,bachelor,2695,32720,67,0.0,personal auto,four-door car,322
89,west,u,college,6047,20396,76,1.0,personal auto,four-door car,365
