region,gender,education,policy_type,vehicle_class,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,total_claim_amount
1,central,f,bachelor,personal auto,four-door car,6980,37707,94,0.0,1131
2,central,f,bachelor,personal auto,two-door car,12887,48767,108,0.0,566
3,west,m,bachelor,corporate auto,suv,7646,37707,106,0.0,530
4,east,m,high school or below,personal auto,four-door car,5363,36357,68,0.0,17
5,northeast,f,bachelor,personal auto,two-door car,8256,62902,69,0.0,159
6,northeast,f,college,corporate auto,four-door car,5381,55350,67,0.0,322
7,central,m,master,corporate auto,four-door car,7216,37707,101,0.0,363
9,northeast,f,college,special auto,four-door car,7388,28812,93,0.0,426
10,west,m,college,personal auto,four-door car,4739,37707,67,0.0,482
11,west,u,college,personal auto,suv,8197,37707,110,0.0,528
16,central,u,high school or below,personal auto,two-door car,2567,25049,67,0.0,454
17,west,u,college,personal auto,suv,3945,28855,101,0.0,647
18,northeast,u,college,personal auto,four-door car,5710,51148,72,0.0,309
19,west,u,high school or below,corporate auto,four-door car,8163,66140,101,0.0,485
20,northeast,u,high school or below,personal auto,two-door car,2872,57749,74,0.0,355
24,west,u,bachelor,corporate auto,four-door car,2392,17870,61,0.0,439
25,northeast,u,college,personal auto,four-door car,5802,97541,72,0.0,389
26,west,u,bachelor,personal auto,four-door car,3946,37707,111,0.0,799
27,east,m,college,personal auto,four-door car,9162,29723,80,0.0,21
32,west,u,bachelor,personal auto,four-door car,4715,37707,65,0.0,308
33,east,f,college,personal auto,suv,4738,37707,130,0.0,24
34,northeast,u,bachelor,corporate auto,four-door car,4933,37260,62,0.0,15
35,central,u,high school or below,personal auto,four-door car,5744,68987,71,0.0,204
36,west,u,bachelor,personal auto,four-door car,13892,42305,117,0.0,562
37,northeast,u,master,personal auto,four-door car,7381,65706,91,0.0,437
38,northeast,u,bachelor,personal auto,two-door car,3090,37707,90,0.0,648
41,northeast,u,college,corporate auto,two-door car,2771,50071,71,0.0,19
42,west,u,bachelor,personal auto,four-door car,3939,60021,99,0.0,883
43,central,u,high school or below,personal auto,sports car,12232,43244,103,0.0,494
47,northeast,u,high school or below,personal auto,two-door car,5514,23218,71,0.0,448
48,west,u,bachelor,corporate auto,four-door car,3344,37707,92,0.0,530
49,central,u,high school or below,personal auto,four-door car,2294,37707,62,0.0,313
54,west,u,bachelor,personal auto,four-door car,4294,16701,113,0.0,832
55,central,u,college,corporate auto,four-door car,7164,46623,91,0.0,437
56,west,u,college,special auto,four-door car,7620,64749,64,0.0,303
57,central,u,high school or below,personal auto,suv,3958,37707,101,0.0,485
59,northeast,u,master,personal auto,four-door car,4060,11621,108,0.0,518
61,west,u,bachelor,personal auto,two-door car,8110,11489,105,0.0,504
62,northeast,u,bachelor,personal auto,two-door car,3340,37707,94,0.0,863
64,central,u,bachelor,personal auto,four-door car,6614,37707,63,0.0,676
65,east,u,college,personal auto,four-door car,2931,33663,73,0.0,350
66,northeast,u,college,corporate auto,suv,8672,22547,112,0.0,538
67,central,u,high school or below,personal auto,two-door car,11639,61486,97,0.0,465
68,northeast,u,bachelor,personal auto,two-door car,6846,37707,95,0.0,456
69,west,u,college,personal auto,four-door car,11728,29879,102,0.0,500
71,northeast,u,master,personal auto,two-door car,2614,65186,65,0.0,5
75,northeast,u,bachelor,personal auto,four-door car,8592,38984,73,0.0,350
76,northeast,u,high school or below,personal auto,four-door car,5592,71811,71,0.0,29
77,central,u,college,personal auto,four-door car,8009,20961,67,0.0,322
80,west,u,college,personal auto,two-door car,8025,37707,77,0.0,26
81,west,u,high school or below,personal auto,four-door car,5780,51066,74,0.0,788
82,west,u,doctor,personal auto,suv,4119,34378,102,0.0,490
83,central,u,master,personal auto,four-door car,2523,43072,63,0.0,302
84,northeast,u,college,personal auto,four-door car,6554,25222,90,0.0,476
88,northeast,u,bachelor,personal auto,four-door car,2695,32720,67,0.0,322
92,northeast,u,bachelor,corporate auto,four-door car,2528,80744,63,0.0,12
93,northeast,u,bachelor,corporate auto,two-door car,2672,52822,67,0.0,351
96,central,u,master,personal auto,suv,8375,17780,109,0.0,133
97,west,u,bachelor,personal auto,four-door car,4802,18107,62,0.0,298
99,northeast,u,college,personal auto,two-door car,6066,32627,76,0.0,380
100,west,u,college,personal auto,suv,8002,37707,107,0.0,514
101,west,u,college,personal auto,four-door car,2394,37707,70,0.0,425
103,west,u,college,personal auto,four-door car,4330,60475,107,0.0,514
104,west,u,high school or below,personal auto,suv,9403,37707,130,0.0,936
105,northeast,u,bachelor,personal auto,four-door car,6967,41837,88,0.0,142
106,west,u,bachelor,personal auto,four-door car,7694,32303,65,0.0,45
108,west,u,bachelor,personal auto,two-door car,5929,40531,74,0.0,31
110,west,u,college,personal auto,four-door car,6702,56398,85,0.0,408
111,east,m,high school or below,personal auto,two-door car,4997,71600,63,0.0,46
112,central,u,college,personal auto,suv,8493,27804,109,0.0,785
116,northeast,u,high school or below,personal auto,suv,4773,20993,133,0.0,638
117,central,u,high school or below,personal auto,two-door car,6806,37839,86,0.0,466
118,west,u,bachelor,personal auto,two-door car,2470,92711,62,0.0,368
120,east,f,college,personal auto,four-door car,10485,61108,89,0.0,49
121,west,u,bachelor,personal auto,sports car,8903,46833,112,0.0,64
122,northeast,u,high school or below,personal auto,two-door car,5499,88768,68,0.0,326
124,central,u,bachelor,personal auto,four-door car,2509,33555,63,0.0,102
126,northeast,u,master,personal auto,four-door car,3134,58850,78,0.0,144
127,central,u,college,special auto,four-door car,3837,21880,97,0.0,424
128,northeast,u,college,personal auto,four-door car,11790,25251,66,0.0,317
129,east,f,high school or below,personal auto,two-door car,2830,25317,71,0.0,50
130,central,u,high school or below,personal auto,sports car,4306,24188,109,0.0,523
131,central,u,bachelor,special auto,four-door car,5974,41611,74,0.0,114
133,central,u,college,personal auto,four-door car,4732,69833,118,0.0,829
134,central,u,high school or below,corporate auto,four-door car,8026,37707,74,0.0,533
135,central,u,high school or below,personal auto,suv,4023,37707,117,0.0,975
136,northeast,u,high school or below,special auto,sports car,9618,80536,119,0.0,54
137,east,f,bachelor,personal auto,four-door car,7256,88891,89,0.0,51
138,northeast,u,college,personal auto,four-door car,9553,97732,79,0.0,290
139,central,f,bachelor,special auto,four-door car,10389,61222,89,0.0,393
140,northeast,m,college,personal auto,two-door car,2470,37707,74,0.0,721
141,central,m,master,personal auto,suv,5619,50335,140,0.0,457
142,west,f,high school or below,personal auto,sports car,9047,37707,127,0.0,1088
144,northeast,f,high school or below,personal auto,four-door car,3732,37707,96,0.0,461
145,central,m,bachelor,corporate auto,four-door car,3661,64495,92,0.0,252
146,west,f,college,corporate auto,four-door car,7929,37707,72,0.0,346
148,central,f,high school or below,personal auto,four-door car,7988,77330,99,0.0,99
149,northeast,m,college,corporate auto,four-door car,3885,37707,105,0.0,504
150,east,f,high school or below,personal auto,four-door car,9358,33060,117,0.0,57
